,ExternalRiskEstimate,MSinceOldestTradeOpen,MSinceMostRecentTradeOpen,AverageMInFile,NumSatisfactoryTrades,NumTrades60Ever2DerogPubRec,NumTrades90Ever2DerogPubRec,PercentTradesNeverDelq,MSinceMostRecentDelq,MaxDelq2PublicRecLast12M,MaxDelqEver,NumTotalTrades,NumTradesOpeninLast12M,PercentInstallTrades,MSinceMostRecentInqexcl7days,NumInqLast6M,NumInqLast6Mexcl7days,NetFractionRevolvingBurden,NetFractionInstallBurden,NumRevolvingTradesWBalance,NumInstallTradesWBalance,NumBank2NatlTradesWHighUtilization,PercentTradesWBalance,CfExternalRiskEstimate,CfMSinceOldestTradeOpen,CfMSinceMostRecentTradeOpen,CfAverageMInFile,CfNumSatisfactoryTrades,CfNumTrades60Ever2DerogPubRec,CfNumTrades90Ever2DerogPubRec,CfPercentTradesNeverDelq,CfMSinceMostRecentDelq,CfMaxDelq2PublicRecLast12M,CfMaxDelqEver,CfNumTotalTrades,CfNumTradesOpeninLast12M,CfPercentInstallTrades,CfMSinceMostRecentInqexcl7days,CfNumInqLast6M,CfNumInqLast6Mexcl7days,CfNetFractionRevolvingBurden,CfNetFractionInstallBurden,CfNumRevolvingTradesWBalance,CfNumInstallTradesWBalance,CfNumBank2NatlTradesWHighUtilization,CfPercentTradesWBalance,GoalValue,GoalScore,GoalName,method,model
0,70,142,9,47,16,0,0,100,-7,7,8,16,4,19,0,2,2,30,55,4,2,1,55,70.67355346679688,141.73532104492188,8.735329627990723,54.937442779541016,16.67356300354004,0.0,0.0,100.0,-7.0,7.0,8.0,18.329214096069336,3.599031925201416,25.06803321838379,0.0,1.871625542640686,1.871625542640686,20.193143844604492,61.068050384521484,3.8716254234313965,2.0,1.0,55.12837600708008,1,0.5252443552017212,RiskPerformance,Alibi-Proto,XGBoost
0,61,113,3,29,32,0,0,100,-7,7,8,33,12,28,3,2,2,36,72,8,6,2,54,70.54271697998047,109.39788055419922,15.513005256652832,47.45360565185547,26.417686462402344,0.0,0.0,100.0,-7.0,7.0,8.0,27.417686462402344,0.47709202766418457,26.378082275390625,0.38798314332962036,2.631819248199463,2.631819248199463,26.457290649414062,64.43748474121094,4.397883892059326,2.397883653640747,1.3681812286376953,38.51668930053711,1,0.5194645524024963,RiskPerformance,Alibi-Proto,XGBoost
0,71,103,15,94,6,1,0,86,13,6,5,7,0,14,-7,0,0,48,-8,2,-8,0,67,71.58300018310547,98.45660400390625,2.5358173847198486,81.53581237792969,17.474082946777344,0.4170060157775879,0.0,84.4269027709961,15.563190460205078,6.0,5.58299446105957,13.52358627319336,0.5829938650131226,15.573091506958008,1.5037859678268433,2.563192367553711,2.563192367553711,36.525909423828125,-8.0,2.5829944610595703,0.5037859678268433,0.5829938650131226,67.0,1,0.6333916187286377,RiskPerformance,Alibi-Proto,XGBoost
0,79,66,19,35,5,0,0,100,-7,7,8,5,0,60,-7,0,0,35,36,2,3,0,100,77.0999984741211,75.9000015258789,9.100000381469727,38.900001525878906,14.899999618530273,0.0,0.0,100.0,-7.0,7.0,8.0,14.899999618530273,3.9000000953674316,50.099998474121094,-8.899999618530273,0.0,0.0,38.900001525878906,26.100000381469727,5.900000095367432,1.100000023841858,0.0,90.0999984741211,1,0.5238811373710632,RiskPerformance,Alibi-Proto,XGBoost
0,66,258,7,94,17,2,2,95,19,6,2,19,3,16,0,1,1,32,-8,5,1,0,55,70.54339599609375,268.48394775390625,4.436807632446289,93.41699981689453,25.503786087036133,0.4269070327281952,0.4269070327281952,95.58300018310547,9.50611686706543,4.426906585693359,5.553291320800781,30.474082946777344,3.0,22.523588180541992,2.56319260597229,1.0,1.0,45.454288482666016,-8.0,5.0,1.0,1.5730928182601929,55.0,1,0.702892005443573,RiskPerformance,Alibi-Proto,XGBoost
0,60,236,3,83,41,1,0,86,17,6,5,31,1,30,1,3,3,82,-8,6,2,3,75,71.47409057617188,233.43682861328125,5.563192367553711,97.44438934326172,36.45660400390625,0.4170060157775879,0.0,99.45428466796875,-6.355271339416504,6.58299446105957,7.563192367553711,37.52359390258789,1.5829938650131226,33.55329513549805,0.4170060157775879,1.4269071817398071,1.4269071817398071,63.595218658447266,-8.0,5.41700553894043,1.4170061349868774,2.4170055389404297,55.60511779785156,1,0.5645176768302917,RiskPerformance,Alibi-Proto,XGBoost
0,61,264,11,110,12,4,3,69,4,2,4,16,2,38,0,2,2,2,-8,1,1,0,33,67.52359771728516,259.4566345214844,19.503786087036133,110.58300018310547,12.582992553710938,2.4269065856933594,2.4170055389404297,70.5730972290039,8.543388366699219,3.5730934143066406,3.4170055389404297,15.417007446289062,0.4269070029258728,29.496213912963867,-7.513687610626221,0.4269070029258728,0.4269070029258728,3.5730934143066406,-8.0,1.0,-7.503786563873291,0.0,33.0,1,0.652109682559967,RiskPerformance,Alibi-Proto,XGBoost
0,61,425,34,103,13,4,4,79,37,0,3,20,0,58,0,0,0,78,66,4,1,1,100,68.9000015258789,434.8999938964844,24.100000381469727,112.9000015258789,22.899999618530273,-1.899999976158142,-1.899999976158142,88.9000015258789,27.100000381469727,9.899999618530273,8.899999618530273,29.899999618530273,5.900000095367432,48.099998474121094,3.9000000953674316,1.899999976158142,1.899999976158142,68.0999984741211,75.9000015258789,13.899999618530273,8.899999618530273,8.899999618530273,90.0999984741211,1,0.5715691447257996,RiskPerformance,Alibi-Proto,XGBoost
0,68,161,2,58,1,0,0,67,53,6,6,3,2,33,0,3,3,37,91,1,1,0,100,77.9000015258789,151.10000610351562,5.900000095367432,67.9000015258789,10.899999618530273,0.0,0.0,76.9000015258789,43.099998474121094,6.0,6.0,12.899999618530273,0.10000000149011612,42.900001525878906,-9.899999618530273,-2.9000000953674316,-2.9000000953674316,27.100000381469727,96.9000015258789,6.900000095367432,1.0,1.899999976158142,100.0,1,0.7710960507392883,RiskPerformance,Alibi-Proto,XGBoost
0,65,49,9,23,11,0,0,100,-7,7,8,12,1,25,-7,1,1,76,74,4,2,3,67,74.9000015258789,58.900001525878906,-0.8999999761581421,32.900001525878906,16.899999618530273,0.0,0.0,100.0,-7.0,7.0,8.0,17.899999618530273,2.9000000953674316,28.899999618530273,-8.899999618530273,-0.8999999761581421,-0.8999999761581421,66.0999984741211,72.0999984741211,4.0,3.9000000953674316,-2.9000000953674316,76.9000015258789,1,0.5395775437355042,RiskPerformance,Alibi-Proto,XGBoost
0,70,142,9,47,16,0,0,100,-7,7,8,16,4,19,0,2,2,30,55,4,2,1,55,72.8334732055664,142.2496337890625,9.22205924987793,44.485626220703125,15.796845436096191,0.0,0.0,100.0,-7.0,7.0,8.0,15.810455322265625,2.966705322265625,34.7357292175293,0.0,0.9874340295791626,0.9560409784317017,35.392452239990234,72.4389419555664,2.9817209243774414,2.0,1.0,51.918941497802734,0,0.4076366809508477,RiskPerformance,Alibi-Proto,MLP
0,61,113,3,29,32,0,0,100,-7,7,8,33,12,28,3,2,2,36,72,8,6,2,54,66.78145599365234,114.76189422607422,3.0,38.8010139465332,33.761898040771484,0.0,0.0,100.0,-7.0,7.0,8.0,33.0,0.18920192122459412,28.0,3.0,2.0,2.0,36.0,72.0,8.0,6.0,2.0,73.77505493164062,1,0.5977892127477286,RiskPerformance,Alibi-Proto,MLP
